iter	Passed	Remaining
0	0	178
1	1	175
2	2	168
3	3	158
4	3	152
5	4	145
6	5	144
7	5	141
8	6	138
9	7	135
10	7	135
11	8	132
12	9	132
13	10	134
14	10	133
15	11	132
16	12	134
17	13	132
18	14	133
19	14	133
20	15	133
21	16	133
22	17	133
23	17	131
24	18	130
25	19	128
26	20	128
27	20	127
28	21	127
29	22	126
30	23	128
31	24	128
32	25	127
33	25	126
34	26	125
35	27	124
36	28	124
37	28	123
38	29	122
39	30	123
40	31	122
41	32	121
42	32	120
43	33	118
44	34	118
45	34	116
46	35	115
47	36	114
48	36	113
49	37	112
50	38	111
51	39	111
52	39	110
53	40	109
54	40	108
55	41	107
56	42	105
57	42	104
58	43	104
59	44	103
60	44	102
61	45	101
62	46	100
63	46	99
64	47	98
65	47	97
66	48	96
67	49	95
68	50	95
69	51	94
70	51	94
71	52	92
72	52	92
73	53	91
74	54	90
75	54	89
76	55	88
77	55	87
78	56	86
79	57	85
80	57	84
81	58	83
82	58	83
83	59	82
84	60	81
85	60	80
86	61	79
87	61	78
88	62	77
89	63	77
90	63	76
91	64	75
92	64	74
93	65	73
94	65	72
95	66	71
96	66	70
97	67	70
98	68	69
99	68	68
100	69	67
101	69	66
102	70	66
103	70	65
104	71	64
105	72	63
106	72	63
107	73	62
108	74	61
109	74	61
110	75	60
111	75	59
112	76	58
113	76	58
114	77	57
115	78	56
116	78	55
117	79	55
118	79	54
119	80	53
120	80	52
121	81	52
122	82	51
123	82	50
124	83	49
125	83	49
126	84	48
127	84	47
128	85	47
129	86	46
130	86	45
131	87	45
132	92	46
133	92	45
134	93	44
135	93	44
136	94	43
137	94	42
138	95	41
139	95	41
140	96	40
141	96	39
142	97	38
143	98	38
144	98	37
145	99	36
146	99	35
147	100	35
148	100	34
149	101	33
150	101	33
151	102	32
152	103	31
153	103	31
154	104	30
155	105	29
156	105	28
157	106	28
158	106	27
159	107	26
160	107	26
161	108	25
162	108	24
163	109	24
164	110	23
165	110	22
166	111	21
167	111	21
168	112	20
169	112	19
170	113	19
171	114	18
172	114	17
173	115	17
174	115	16
175	116	15
176	116	15
177	117	14
178	117	13
179	118	13
180	118	12
181	119	11
182	120	11
183	120	10
184	121	9
185	121	9
186	122	8
187	122	7
188	123	7
189	124	6
190	124	5
191	125	5
192	125	4
193	126	3
194	127	3
195	127	2
196	128	1
197	128	1
198	129	0
199	129	0
